"","Genus","Species","Antibiotic","Equiv","Result","Phenotype","Data"
"7398","Escherichia","coli","AMP","=","4","S","SAMN13279835"
"7399","Escherichia","coli","AMP","=","2","S","SAMN13283334"
"7401","Escherichia","coli","AMP","=","4","S","PNUSAE016693"
"7403","Escherichia","coli","AMP","=","4","S","PNUSAE013012"
"7405","Escherichia","coli","AMP","=","2","S","PNUSAE016225"
"7406","Escherichia","coli","AMP","=","4","S","PNUSAE016933"
"7407","Escherichia","coli","AMP","=","2","S","PNUSAE019935"
"7408","Escherichia","coli","AMP","=","2","S","PNUSAE017163"
"7409","Escherichia","coli","AMP","=","4","S","PNUSAE013515"
"7410","Escherichia","coli","AMP","=","2","S","PNUSAE013686"
"7411","Escherichia","coli","AMP","=","2","S","PNUSAE019273"
"7412","Escherichia","coli","AMP","=","4","S","PNUSAE018493"
"7414","Escherichia","coli","AMP","=","2","S","PNUSAE016139"
"7415","Escherichia","coli","AMP","=","4","S","PNUSAE019109"
"7417","Escherichia","coli","AMP","=","4","S","PNUSAE019105"
"7418","Escherichia","coli","AMP","=","2","S","PNUSAE016589"
"7420","Escherichia","coli","AMP","=","2","S","PNUSAE013687"
"7421","Escherichia","coli","AMP","=","4","S","PNUSAE014053"
"7422","Escherichia","coli","AMP","=","2","S","PNUSAE014056"
"7423","Escherichia","coli","AMP","=","2","S","PNUSAE014057"
"7424","Escherichia","coli","AMP","=","2","S","PNUSAE014583"
"7429","Escherichia","coli","AMP","=","2","S","PNUSAE012595"
"7431","Escherichia","coli","AMP","=","2","S","PNUSAE016743"
"7432","Escherichia","coli","AMP","=","2","S","PNUSAE018774"
"7434","Escherichia","coli","AMP","=","2","S","PNUSAE015234"
"7435","Escherichia","coli","AMP","=","2","S","PNUSAE016352"
"7439","Escherichia","coli","AMP","=","2","S","SAMN13279834"
"7440","Escherichia","coli","AMP","=","2","S","SAMN13280849"
"7441","Escherichia","coli","AMP","=","4","S","SAMN13280863"
"7452","Escherichia","coli","AMP","=","2","S","PNUSAE018534"
"7454","Escherichia","coli","AMP","=","2","S","PNUSAE016154"
"7455","Escherichia","coli","AMP","=","2","S","PNUSAE016708"
"7476","Escherichia","coli","AMP","=","2","S","PNUSAE019463"
"7480","Escherichia","coli","AMP","=","2","S","PNUSAE011846"
"7481","Escherichia","coli","AMP","=","2","S","PNUSAE013769"
"7485","Escherichia","coli","AMP","=","2","S","PNUSAE019920"
"7486","Escherichia","coli","AMP","=","2","S","PNUSAE018380"
"7502","Escherichia","coli","AMP","=","2","S","PNUSAE019484"
"7504","Escherichia","coli","AMP","=","2","S","PNUSAE013783"
"7508","Escherichia","coli","AMP","=","2","S","PNUSAE020519"
"7511","Escherichia","coli","AMP","=","4","S","PNUSAE015999"
"7512","Escherichia","coli","AMP","=","2","S","PNUSAE017293"
"7513","Escherichia","coli","AMP","=","2","S","PNUSAE018744"
"7515","Escherichia","coli","AMP","=","2","S","PNUSAE015395"
"7516","Escherichia","coli","AMP","=","2","S","PNUSAE019411"
"7517","Escherichia","coli","AMP","=","2","S","PNUSAE019832"
"7524","Escherichia","coli","AMP","=","2","S","PNUSAE015206"
"7525","Escherichia","coli","AMP","=","2","S","PNUSAE017549"
"7526","Escherichia","coli","AMP","=","2","S","PNUSAE018859"
"7531","Escherichia","coli","AMP","=","2","S","PNUSAE020493"
"7536","Escherichia","coli","AMP","=","2","S","PNUSAE019219"
"7540","Escherichia","coli","AMP","=","2","S","PNUSAE020299"
"7541","Escherichia","coli","AMP","=","2","S","PNUSAE020889"
"7544","Escherichia","coli","AMP","=","2","S","PNUSAE019642"
"7549","Escherichia","coli","AMP","=","2","S","PNUSAE016550"
"7550","Escherichia","coli","AMP","=","2","S","PNUSAE018576"
"7554","Escherichia","coli","AMP","=","2","S","PNUSAE019805"
"7555","Escherichia","coli","AMP","=","2","S","PNUSAE020840"
"7558","Escherichia","coli","AMP","=","2","S","PNUSAE015602"
"7561","Escherichia","coli","AMP","=","2","S","PNUSAE020518"
"7562","Escherichia","coli","AMP","=","2","S","PNUSAE019739"
"7565","Escherichia","coli","AMP","=","2","S","PNUSAE020789"
"7566","Escherichia","coli","AMP","=","2","S","PNUSAE021393"
"7567","Escherichia","coli","AMP","=","2","S","PNUSAE019675"
"7568","Escherichia","coli","AMP","=","4","S","PNUSAE016025"
